Neighborhoods,Zip,area
Allegheny Center,15212,0.21
Allegheny West,15233,0.141
Allentown,15210,0.295
Arlington,15210,0.47
Arlington Heights,15210,0.132
Banksville,15220,0.969
Beechview,15216,1.46
Beltzhoover,15210,0.421
Bloomfield,15224,0.702
Bluff,15219,0.327
Bon Air,15210,0.313
Brighton Heights,15212,1.117
Brookline,15226,2.082
California-Kirkbride,15212,0.217
Carrick,15210,1.673
Downtown,15222,0.64
Lawrenceville,15201,1.798
Central Northside,15212,0.259
Oakland,15213,1.5
Chartiers,15204,0.132
Chateau,15233,0.383
Crafton Heights,15205,0.754
Duquesne Heights,15211,0.623
East Allegheny,15212,0.236
East Carnegie,15106,0.432
East Hills,15221,0.541
East Liberty,15206,0.581
Elliott,15220,0.606
Esplen,15204,0.23
Fairywood,15205,0.969
Fineview,15214,0.25
Friendship,15206,0.106
Garfield,15224,0.457
Glen Hazel,15207,0.456
Greenfield,15207,0.773
Hays,15207,1.75
Hazelwood,15207,1.583
Highland Park,15206,1.163
Homewood,15208,1.03
Knoxville,15210,0.302
Larimer,15206,0.445
Lincoln–Lemington–Belmar,15206,1.812
Lincoln Place,15207,0.984
Manchester,15233,0.279
Marshall-Shadeland,15212,1.254
Hill District,15219,1.512
Morningside,15206,0.362
Mount Oliver,15210,0.1
Mount Washington,15211,1.139
New Homestead,15120,0.794
North Point Breeze,15208,0.286
North Shore,15212,0.303
Northview Heights,15214,0.313
Oakwood,15205,0.252
Perry North,15214,1.212
Perry South,15214,0.905
Point Breeze,15208,1.004
Polish Hill,15219,0.255
Regent Square,15218,0.192
Ridgemont,15220,0.369
Saint Clair,15210,0.31
Shadyside,15232,0.921
Sheraden,15204,0.69
South Shore,15222,0.212
South Side Flats,15203,0.94
South Side Slopes,15203,0.716
Spring Garden,15212,0.275
Spring Hill–City View,15212,0.63
Squirrel Hill,15217,3.89
Stanton Heights,15201,0.735
Strip District,15222,0.74
Summer Hill,15214,0.439
Swisshelm Park,15218,0.48
Troy Hill,15212,0.46
West End,15212,0.2
Westwood,15205,0.692
Windgap,15204,0.415